"Your comment on %post_title has been approved.","Your comment on %post_title has been approved."
"Hello, %subscriber_name!","Hello, %subscriber_name!"
"Your comment status regarding ","Your comment status regarding "
" has been changed to Published."," has been changed to Published."
Comment:,Comment:
"If you don't want these updates anymore, you can unsubscribe ","If you don't want these updates anymore, you can unsubscribe "
here.,here.
"New comment on %post_title","New comment on %post_title"
"There is a new comment on ","There is a new comment on "
Author:,Author:
"Click ","Click "
here,here
" to view it."," to view it."
"New reply on %post_title","New reply on %post_title"
"There is a new reply on ","There is a new reply on "
Reply:,Reply:
"Your comment status regarding","Your comment status regarding"
" has been replied."," has been replied."
"Your comment on %post_title has been rejected.","Your comment on %post_title has been rejected."
" has been changed to Rejected."," has been changed to Rejected."
Cancel,Cancel
"Something went wrong while moving the category.","Something went wrong while moving the category."
Error,Error
"Post Preview","Post Preview"
Ok,Ok
Export,Export
"Please select post","Please select post"
"Publish now","Publish now"
"Publish at","Publish at"
"Schedule for","Schedule for"
"Something went wrong while uploading the image","Something went wrong while uploading the image"
"{count} characters used. Recommended max length is 50-{length} characters","{count} characters used. Recommended max length is 50-{length} characters"
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
Submit,Submit
"Aheadworks Extensions","Aheadworks Extensions"
General,General
"Add Blog To Main Navigation Menu","Add Blog To Main Navigation Menu"
"If you disable this option, make sure to add a link to the blog in the footer links or anywhere else at your choice. Otherwise, Blog will be accessible only via a direct link.","If you disable this option, make sure to add a link to the blog in the footer links or anywhere else at your choice. Otherwise, Blog will be accessible only via a direct link."
"Blog Title","Blog Title"
"Route to Blog","Route to Blog"
"For example, ""blog"" makes the blog accessible at <u>domain.com/blog</u>","For example, ""blog"" makes the blog accessible at <u>domain.com/blog</u>"
"Route to Authors Page","Route to Authors Page"
"Posts per page","Posts per page"
"Quantity Of Related Posts","Quantity Of Related Posts"
"Posts in a grid view","Posts in a grid view"
"Number of columns","Number of columns"
"Default posts view","Default posts view"
"Display Sharing Buttons At","Display Sharing Buttons At"
"Display Authors","Display Authors"
"Post Image Placeholder","Post Image Placeholder"
"Placeholder Alt Text","Placeholder Alt Text"
Sidebar,Sidebar
"Number of Recent Posts to Display","Number of Recent Posts to Display"
"Number of Most Popular Tags to Display","Number of Most Popular Tags to Display"
"Number of Featured Posts","Number of Featured Posts"
"Featured Posts Position","Featured Posts Position"
"Highlight Popular Tags","Highlight Popular Tags"
"Sidebar CMS Block","Sidebar CMS Block"
"Display Categories List in a Sidebar","Display Categories List in a Sidebar"
"Maximum Number of Categories to Display","Maximum Number of Categories to Display"
"A threshold to display ""Show X More"" link. Set to 0 to show all categories.","A threshold to display ""Show X More"" link. Set to 0 to show all categories."
SEO,SEO
"Enable Meta Tags","Enable Meta Tags"
"Disable if you want to manage meta tags with a third-party solution.","Disable if you want to manage meta tags with a third-party solution."
"Blog Meta Description","Blog Meta Description"
"Recommended max length is 156 characters","Recommended max length is 156 characters"
"Blog Meta Keywords","Blog Meta Keywords"
"URL structure","URL structure"
"Post URL Suffix","Post URL Suffix"
"Can consist of letters, numbers, slashes, underscores, dots and hyphens.<br>You need to refresh the cache.","Can consist of letters, numbers, slashes, underscores, dots and hyphens.<br>You need to refresh the cache."
"Author Page URL Suffix","Author Page URL Suffix"
"URL Suffix for all other pages","URL Suffix for all other pages"
"Used for categories, authors page, blog home page and search by tag page","Used for categories, authors page, blog home page and search by tag page"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Posts","Use Canonical Link Meta Tag For Posts"
"Use Canonical Link Meta Tag For Authors","Use Canonical Link Meta Tag For Authors"
"Use Canonical Link Meta Tag For Blog Page","Use Canonical Link Meta Tag For Blog Page"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
Organization,Organization
"Will be used in structured data (JSON-LD)","Will be used in structured data (JSON-LD)"
Comments,Comments
"Comments Enabled","Comments Enabled"
"Comments Service","Comments Service"
"Disqus Forum Code","Disqus Forum Code"
"<a href=""https://aheadworks.com/resources/blog/user-manual-blog#registering"" target=""_blank"">How to set it up?</a>","<a href=""https://aheadworks.com/resources/blog/user-manual-blog#registering"" target=""_blank"">How to set it up?</a>"
"Disqus Secret Key","Disqus Secret Key"
"Facebook App ID","Facebook App ID"
"In order to use Facebook Insights you must add the app ID to your page. Insights lets you view analytics for traffic to your site from Facebook. Find the app ID in your App Dashboard.","In order to use Facebook Insights you must add the app ID to your page. Insights lets you view analytics for traffic to your site from Facebook. Find the app ID in your App Dashboard."
"Default Twitter site account","Default Twitter site account"
"if @ symbol is missing, we add it automatically.","if @ symbol is missing, we add it automatically."
"Automatic Approving","Automatic Approving"
"Allow Guest Comments","Allow Guest Comments"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Who must accept Terms and Conditions","Who must accept Terms and Conditions"
"Subscribe Customers to Comments emails automatically","Subscribe Customers to Comments emails automatically"
"Email Notification Settings","Email Notification Settings"
"Email Sender","Email Sender"
"Send admin notifications to this email address","Send admin notifications to this email address"
"Leave empty to disable admin notifications","Leave empty to disable admin notifications"
"Admin notifications about new comment","Admin notifications about new comment"
"Admin notifications about new replies","Admin notifications about new replies"
"Customer notifications about the comment is published","Customer notifications about the comment is published"
"Customer notifications about the comment is rejected","Customer notifications about the comment is rejected"
"Customer notifications about new replies to their comments","Customer notifications about new replies to their comments"
"Remove the web copies of the emails older than X days","Remove the web copies of the emails older than X days"
"Leave 0 to disable this option","Leave 0 to disable this option"
"Display Blog Posts Tab on Product Page","Display Blog Posts Tab on Product Page"
"Display Related Products Block on Post Page","Display Related Products Block on Post Page"
"Related Products Block Layout","Related Products Block Layout"
"Max Products to Display","Max Products to Display"
"Display ""Add to Cart"" Button","Display ""Add to Cart"" Button"
"Wordpress Import","Wordpress Import"
"Override existing posts with the same URL","Override existing posts with the same URL"
"Import file","Import file"
"Entity Type","Entity Type"
